campaign_id,project_id,kpi_conversion_id,platform,tactic_name,ad_type,status,status_enum,funnel,budget,spent,currency,remaining_spend,start_date,end_date,percent_spent,percent_duration,kpi_percentage,kpi_performance,primary_kpi,kpi_value,kpi_to_date,impressions,clicks,ctr,cpl,cpc,cpm,pricingType,tags,note,alwaysOnActivity,scheduleType
"61168b35c9d0d14a86e0b020","22965","","UCAS","Open Days - UCAS - November Email Boost","2021 Email","Ended",4,"Connection",6000,6000,"GBP",0,"2021-11-22","2021-11-22",100,100,98.72,98.72,"Impressions",10000,9872,9872,175,1.77,0,38.1,675.31,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","23902","","Facebook Family","A/B test messaging - UCAS deadline remarketing","Mix Media Link Post","Ended",4,"Action",507.33,507.33,"GBP",-0.01,"2021-12-08","2021-12-13",100,100,354.61,354.61,"Clicks",141,500,24039,500,2.08,0,1.01,21.1,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18289","","Snapchat","Open Days - Snapchat - Traditional Students - Bronze & Silver","Snap Ads","Ended",4,"Action",4291.24,4291.24,"GBP",0,"2021-09-22","2022-01-15",100,100,29.41,29.41,"Leads",51,15,1691504,13031,0.77,286.08,0.33,2.54,"standard",[],"",false,"flighting"
"61168b35c9d0d14a86e0b020","17844","","Snapchat","Brand - Snapchat - Story Ads - Bronze Locations","Story Ads","Ended",4,"Connection",3471.02,3471.02,"GBP",0,"2021-10-26","2021-12-10",100,100,104.04,104.04,"Impressions",867756,902845,902845,236,0.03,0,14.71,3.84,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18288","","Facebook Family","Open Days - Facebook - Mature Students - Gold & Silver","Mix Media Link Post","Ended",4,"Action",4357.25,4357.25,"GBP",0,"2021-09-20","2022-01-15",100,100,12.5,12.5,"Leads",56,7,363099,1958,0.54,622.46,2.23,12,"standard",[],"",false,"flighting"
"61168b35c9d0d14a86e0b020","18308","","The Guardian","Jan Deadline - Guardian - Contextual Targeting","Contextual Targeting","Ended",4,"Attention",2000,2000,"GBP",0,"2021-09-27","2022-01-26",100,100,120,120,"Impressions",250000,300002,300002,268,0.09,0,8.29,7.41,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18276","","Facebook","Brand - Reels - All locations","Instagram Reels","Ended",4,"Attention",4904.4,4904.4,"GBP",0,"2021-10-07","2021-11-30",100,100,83.28,83.28,"Impressions",1401256,1166934,1166934,806,0.07,0,6.08,4.2,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18877","","The Student Room","Open Days - TSR - Email Listicle (FOC)","Email Listicle - Standard Slot","Ended",4,"Connection",0.01,0.01,"GBP",0,"2021-09-16","2021-09-16",100,100,138,138,"Clicks",100,138,"",138,"",0,0,"","standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18283","","YouTube","UCAS Deadline - Bumper Ads - Remarketing","Bumper","Ended",4,"Action",2455.93,2455.93,"GBP",0,"2021-12-14","2022-01-26",100,100,188.01,188.01,"Impressions",239370,450047,450047,393,0.09,0,6.25,5.46,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","17722","","Student MarketPlace","Autumn Open Days - Dynamic - Programmatic - Locations","Display","Ended",4,"Attention",11143.1,11143.1,"GBP",0,"2021-10-11","2022-01-15",100,100,100,100,"Impressions",2228620,2228620,2228620,1751,0.08,0,6.36,5,"standard",[],"",false,"flighting"
