StudentCode,MCRCourseCode,UCASCourseCode,AcademicYear,ProgrammeOfStudy,Route,FeeStatusCode,FeeStatus,DateCreated,CycleOfApplication
200303538,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,27/01/2022,2022
200304410,UGNURLXFU01,B761,2022/23,BSc,Nursing (Learning Disability),H,Home,01/07/2021,2021
200509243,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,17/12/2020,2021
200604317,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,11/12/2021,2022
200614635,UGODPRXFU01,B990,2022/23,BSc,Operating Department Practice,H,Home,04/01/2021,2021
200890764,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,18/03/2022,2022
200901578,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),Q,Query,10/03/2022,2022
200906098,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,24/10/2020,2021
200907335,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,Q,Query,21/10/2021,2022
200911018,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,06/12/2021,2022
200916507,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,24/02/2022,2022
201012731,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),Q,Query,07/02/2022,2022
201015230,UGCRPSXFU01,M9C8,2022/23,BA,Criminology with Psychology,H,Home,26/01/2022,2022
201015230,UGCRFSXFU01,M9F4,2022/23,BA,Criminology with Forensic Science,H,Home,26/01/2022,2022
201104339,UGCWENXFU01,WQ83,2022/23,BA,Creative Writing and English,H,Home,03/04/2022,2022
201111475,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,10/12/2021,2022
201301108,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,27/01/2022,2022
201305136,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,18/01/2022,2022
201306008,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,28/10/2021,2022
201307932,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,26/01/2022,2022
201307932,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,26/01/2022,2022
201307932,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,26/01/2022,2022
201307932,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,26/01/2022,2022
201311746,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,19/01/2021,2021
201402312,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,20/10/2021,2022
201405495,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,26/01/2022,2022
201406671,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,20/10/2021,2022
201410170,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,02/03/2022,2022
201501003,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,11/12/2021,2022
201501309,PMMIDWXFU01,B721,2022/23,MSc,Midwifery,H,Home,06/01/2021,2021
201501518,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,17/02/2022,2022
201501682,UGNURLXFU01,B761,2022/23,BSc,Nursing (Learning Disability),H,Home,27/01/2022,2022
201501682,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,27/01/2022,2022
201501682,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,27/01/2022,2022
201502665,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,06/12/2021,2022
201503109,UGPHYSFFU01,F301,2022/23,BSc,Physics,H,Home,27/01/2022,2022
201503683,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),Q,Query,28/10/2021,2022
201504025,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,08/04/2022,2022
201504065,UGNURLXFU01,B761,2022/23,BSc,Nursing (Learning Disability),H,Home,26/01/2022,2022
201504065,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,26/01/2022,2022
201504478,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,26/01/2022,2022
201504478,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,26/01/2022,2022
201504595,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,20/11/2021,2022
201505069,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,13/03/2022,2022
201505069,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,13/03/2022,2022
201505094,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,28/12/2021,2022
201505327,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,21/10/2021,2022
201505327,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,21/10/2021,2022
201505327,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,21/10/2021,2022
201505327,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,21/10/2021,2022
201505327,UGSOCWXFU01,L500,2022/23,BA,Social Work,H,Home,11/12/2021,2022
201506790,UGSOCWXFU01,L500,2022/23,BA,Social Work,H,Home,07/03/2022,2022
201507890,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,01/03/2022,2022
201509810,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,28/02/2022,2022
201601200,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,05/01/2022,2022
201601488,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,25/03/2022,2022
201603082,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,01/02/2022,2022
201603166,UGECECXFU01,X320,2022/23,BA,Early Childhood Education and Care,H,Home,27/01/2022,2022
201604726,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,17/12/2020,2021
201607250,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),Q,Query,03/03/2022,2022
201608158,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,24/11/2021,2022
201609116,UGESUSXFU01,X300,2022/23,BA,Education Studies,H,Home,09/03/2022,2022
201609668,UGBIOMXFU01,BC99,2022/23,BSc,Biomedical Science,H,Home,02/03/2022,2022
201609669,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,26/11/2021,2022
201701735,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,20/10/2021,2022
201701807,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,H,Home,21/10/2021,2022
201702204,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,27/01/2022,2022
201703593,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,20/10/2021,2022
201703894,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,Q,Query,21/10/2021,2022
201704338,UGMBBSFFU01,A101,2022/23,MB BS,Medicine,Q,Query,21/10/2021,2022
201705728,UGSOCWXFU01,L500,2022/23,BA,Social Work,Q,Query,26/01/2022,2022
201705978,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,26/01/2022,2022
201705999,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,27/01/2022,2022
201706313,UGPRITXFU01,X120,2022/23,BA,Primary Teaching,H,Home,22/02/2022,2022
201706794,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,07/12/2021,2022
201706996,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,20/10/2021,2022
201707805,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,H,Home,21/10/2021,2022
201708567,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,26/01/2022,2022
201709417,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),Q,Query,20/10/2021,2022
201711140,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,02/03/2022,2022
201711140,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,02/03/2022,2022
201711140,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,02/03/2022,2022
201711634,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,27/01/2022,2022
201712147,UGCRIMXFU01,M930,2022/23,BA,Criminology,H,Home,25/03/2022,2022
201712640,UGSOCWXFU01,L500,2022/23,BA,Social Work,Q,Query,26/01/2022,2022
201712741,UGNURLXFU01,B761,2022/23,BSc,Nursing (Learning Disability),H,Home,27/01/2022,2022
201712741,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,27/01/2022,2022
201712741,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,27/01/2022,2022
201713081,UGEAEEXFU01,H604,2022/23,BEng,Electrical and Electronic Engineering,Q,Query,27/01/2022,2022
201713178,UGPRITXFU01,X120,2022/23,BA,Primary Teaching,H,Home,26/01/2022,2022
201713314,UGPHYSOXFU01,B160,2022/23,BSc,Physiotherapy,H,Home,18/11/2021,2022
201713314,UGPSYCXFU01,C800,2022/23,BSc,Psychology,H,Home,19/11/2021,2022
201713457,UGPSYCXFU01,C800,2022/23,BSc,Psychology,H,Home,26/01/2022,2022
