campaign_id,project_id,kpi_conversion_id,platform,tactic_name,ad_type,status,status_enum,funnel,budget,spent,currency,remaining_spend,start_date,end_date,percent_spent,percent_duration,kpi_percentage,kpi_performance,primary_kpi,kpi_value,kpi_to_date,impressions,clicks,ctr,cpl,cpc,cpm,pricingType,tags,note,alwaysOnActivity,scheduleType
"6081932c6f03f65b32053c4d","17650","","Google","Clearing - Google Search - Social Work","RSA & ETA","Paused",2,"Action",18.87,18.87,"GBP",0,"2021-08-12","2021-09-30",99.98,100,12.5,12.5,"Clicks",32,4,72,4,5.56,0,4.72,262.04,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12304","","Facebook Family","Clearing - Facebook - Reach & Frequency - Scheduled Ads","Mix Media Link Post","Ended",4,"Attention",9263.4,9262.35,"GBP",1.05,"2021-07-19","2021-09-14",99.99,100,97.89,97.89,"Impressions",4153520,4066050,4066050,2813,0.07,0,3.29,2.28,"standard",[],"",false,"flighting"
"6081932c6f03f65b32053c4d","12290","","Facebook Family","Open Days - Facebook - Priority Course - DPA","Dynamic Product Ad (DPA)","Ended",4,"Connection",3662.89,3661.83,"GBP",1.05,"2021-06-17","2021-06-26",99.97,100,27.63,27.63,"Clicks",6004,1659,507934,1659,0.33,0,2.21,7.21,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","18541","","Instagram","NEW - Instagram Accommodation","Stories","Ended",4,"Connection",2004.87,2004.87,"GBP",0,"2021-08-27","2021-09-30",100,100,665.63,665.63,"Clicks",96,639,257733,639,0.25,0,3.14,7.78,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12239","","TAN Media","Clearing - TAN Media - Native Article - All audiences","Native Content","Ended",4,"Attention",7500,7500,"GBP",0,"2021-07-01","2021-09-30",100,100,92,92,"Impressions",500000,460003,460003,37,0,0,202.7,16.3,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12253","","Fonemedia","Open Day - Fonemedia - Mobile Plus - Parents","Mobile Plus","Ended",4,"Connection",1300,1300,"GBP",0,"2021-05-31","2021-06-26",100,100,237.92,237.92,"Clicks",1511,3595,0,3595,"",0,0.36,"","standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12252","","Fonemedia","Open Day - Fonemedia - Mobile Plus - Mature Students","Mobile Plus","Ended",4,"Attention",1700,1700,"GBP",0,"2021-05-31","2021-06-26",100,100,148.03,148.03,"Clicks",1976,2925,262018,2925,1.12,0,0.58,6.49,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12311","","Facebook (DPA)","Clearing - Facebook - Priority Course - Collection Ads","Collection Ad","Ended",4,"Connection",4368.98,4367.93,"GBP",1.05,"2021-07-19","2021-08-09",99.98,100,179.58,179.58,"Clicks",4854,8717,360269,8717,2.42,0,0.5,12.12,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12504","","Bing","Clearing - Ecosia/Ocean Hero - Brand + Generic + Clearing","Expanded Ads","Ended",4,"Action",2200.3,2200.3,"GBP",0,"2021-06-21","2021-08-31",100,100,97.03,97.03,"Clicks",809,785,19748,785,3.98,0,2.8,111.42,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12246","","WhatUni","Open Day - WhatUni - Featured Open Day - Students","Featured University Specifications","Ended",4,"Attention",2000,2000,"GBP",0,"2021-06-01","2021-06-26",100,100,32,32,"Clicks",50,16,0,16,"",0,125,"","standard",[],"",false,"standard"
