iter	MultiClass
0	1.361085903
1	1.330338819
2	1.301571724
3	1.281855502
4	1.254852627
5	1.233359709
6	1.216611159
7	1.194461782
8	1.17645129
9	1.155530839
10	1.136211712
11	1.111444547
12	1.092790971
13	1.076412112
14	1.057443014
15	1.038872056
16	1.024395644
17	1.001795121
18	0.9809829467
19	0.9630644841
20	0.9485689072
21	0.9377784627
22	0.9275462477
23	0.9175873258
24	0.9065460264
25	0.8922592706
26	0.8836380926
27	0.8745666272
28	0.8653303189
29	0.855267637
30	0.8457629019
31	0.8342884934
32	0.8235142933
33	0.8133622156
34	0.8049408609
35	0.7966813643
36	0.7883350126
37	0.7795223106
38	0.7701167711
39	0.7629467578
40	0.7557999617
41	0.7479393989
42	0.7395812791
43	0.7314342451
44	0.722951476
45	0.7167106785
46	0.7087729846
47	0.7007787087
48	0.6942123593
49	0.6856596556
50	0.6780465931
51	0.671127179
52	0.6654502124
53	0.6592675402
54	0.6539095304
55	0.6461396151
56	0.6418595918
57	0.635745796
58	0.6312355474
59	0.6249363114
60	0.6185192904
61	0.6131723818
62	0.6088508037
63	0.6036450245
64	0.5991469967
65	0.5936079414
66	0.5887914411
67	0.5843306662
68	0.5777536371
69	0.5734149582
70	0.5695395169
71	0.5641305328
72	0.5607718306
73	0.5563718556
74	0.5513066213
75	0.5471471517
76	0.5429143559
77	0.5379409349
78	0.533749629
79	0.5292267632
80	0.5243339136
81	0.5198022447
82	0.5150746434
83	0.5113616172
84	0.5070162452
85	0.5025556343
86	0.4990106881
87	0.4956032111
88	0.4912685998
89	0.4874877375
90	0.4838548188
91	0.4808170814
92	0.4743384891
93	0.4703193582
94	0.466601427
95	0.461760698
96	0.457957922
97	0.4538046454
98	0.4489041514
99	0.4448906693
100	0.4422316563
101	0.4381671028
102	0.4354659111
103	0.4315610281
104	0.4281640503
105	0.424257158
106	0.4205560518
107	0.4165916723
108	0.4133679692
109	0.4097765362
110	0.40571482
111	0.4030775618
112	0.3985813532
113	0.3946743849
114	0.3916878426
115	0.3885165525
116	0.3852153767
117	0.3828168987
118	0.3803214145
119	0.3768480805
120	0.3749638427
121	0.371801311
122	0.368076268
123	0.3649146187
124	0.3606537535
125	0.3573615907
126	0.3547778833
127	0.3510089707
128	0.3478981042
129	0.3450889281
130	0.3428175617
131	0.3405061837
132	0.3383609884
133	0.3353857855
134	0.3331284032
135	0.3303376899
136	0.3279259649
137	0.3247813197
138	0.3220627109
139	0.3203621914
140	0.3180662063
141	0.3161974544
142	0.3135482119
143	0.3105958768
144	0.3078657681
145	0.3055647708
146	0.3039907021
147	0.3017365688
148	0.2989093949
149	0.2975771301
150	0.2959645002
151	0.2938244412
152	0.2919473831
153	0.2902092889
154	0.2886557358
155	0.2866831203
156	0.2847830941
157	0.2831256535
158	0.2807254002
159	0.2788952434
160	0.2768986058
161	0.2750677295
162	0.2728754182
163	0.2715996071
164	0.2699152656
165	0.2678142128
166	0.2660561675
167	0.2638865081
168	0.2621425166
169	0.2605824129
170	0.2592519033
171	0.2575368577
172	0.2558759064
173	0.2540857005
174	0.25238733
175	0.2510389552
176	0.2494804325
177	0.2482005252
178	0.2462043171
179	0.2446412898
180	0.2435872699
181	0.2422865556
182	0.2409254978
183	0.2400152925
184	0.2387403062
185	0.2369593207
186	0.235342563
187	0.2344880362
188	0.2325203302
189	0.230907152
190	0.2295463844
191	0.2275600218
192	0.2262562976
193	0.2249362528
194	0.2234652085
195	0.2219703597
196	0.2208366699
197	0.2195990359
198	0.218295413
199	0.2169710506
200	0.2157962801
201	0.2144242015
202	0.2131889399
203	0.2119051984
204	0.2106497783
205	0.20959062
206	0.2082274287
207	0.2071315288
208	0.2061810084
209	0.205156568
210	0.2039205445
211	0.2026815993
212	0.2016024217
213	0.2007217852
214	0.199142
215	0.1983133632
216	0.1974907374
217	0.1962313262
218	0.1955006294
219	0.1944559318
220	0.1932320011
221	0.1921172915
222	0.1910563592
223	0.1902802475
224	0.1890732611
225	0.1881515242
226	0.1871660474
227	0.1863678243
228	0.185441939
229	0.1842140239
230	0.1834557333
231	0.1826087895
232	0.1816017436
233	0.1807923715
234	0.180021393
235	0.1792283196
236	0.1782324079
237	0.1776621469
238	0.1764629794
239	0.1757853505
240	0.1747308193
241	0.1738518975
242	0.1730968362
243	0.1724665864
244	0.1713572134
245	0.1705925209
246	0.1696706412
247	0.1691031749
248	0.168540053
249	0.1678203813
250	0.1670836077
251	0.166197198
252	0.1654496409
253	0.1644447807
254	0.1638089251
255	0.1628842777
256	0.1621606615
257	0.1615100036
258	0.1607491039
259	0.160180752
260	0.1593344832
261	0.1585117096
262	0.1579796267
263	0.157556808
264	0.1568862939
265	0.1559734715
266	0.1552130714
267	0.1544288025
268	0.153673672
269	0.1528723793
270	0.1520780369
271	0.1512158348
272	0.1504677097
273	0.149566796
274	0.1489805175
275	0.1484949644
276	0.1478525521
277	0.1471507291
278	0.1465827198
279	0.1459835648
280	0.1452990277
281	0.144849831
282	0.1439546553
283	0.143410115
284	0.1426530102
285	0.1419771657
286	0.1413428777
287	0.1409875378
288	0.1403047856
289	0.1399127608
290	0.1393886679
291	0.1388588315
292	0.1380884209
293	0.1376460498
294	0.1370278118
295	0.1364727525
296	0.1359937961
297	0.1355075249
298	0.1350839199
299	0.1346149666
300	0.1341798592
301	0.1337293702
302	0.1331188941
303	0.1325098477
304	0.1320381323
305	0.1316240749
306	0.1310330073
307	0.1305320826
308	0.1299099481
309	0.1295704892
310	0.1291523607
311	0.1285289058
312	0.128112281
313	0.1278068096
314	0.1273280868
315	0.1268401482
316	0.1262216286
317	0.1255761339
318	0.1250148109
